tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,short_url,favorite_count,media_type,media_url,retweet_count,has_prediction,has_error
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,None,https://t.co/MgUWQ76dJU,38439,photo,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,8453,True,False
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,https://t.co/0Xxu71qeIV,32935,photo,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,6227,True,False
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,https://t.co/wUnZnhtVJB,24815,photo,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,4127,True,False
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,https://t.co/tD36da7qLQ,41797,photo,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,8582,True,False
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12,10,Franklin,None,https://t.co/AtUZn91f7f,39961,photo,https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,9310,True,False
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,None,https://t.co/kQ04fDDRmh,20053,photo,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,3085,True,False
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,None,https://t.co/Zr4hWfAs1H ,11737,photo,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,2052,True,False
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13,10,None,None,https://t.co/v0nONBcwxq,64909,photo,https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,18759,True,False
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,https://t.co/9TwLuAGH0b,27576,photo,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,4236,True,False
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,https://t.co/t1bfwz5S2A,31642,photo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,7343,True,False
